variety_name,w+1_raw_accuracy,w+2_raw_accuracy,w+3_raw_accuracy,w+4_raw_accuracy,w+1_raw_wape,w+2_raw_wape,w+3_raw_wape,w+4_raw_wape
Athena,0.6432276398444511,0.7772808854322465,0.8427280885432247,0.798926114268621,0.3567723601555489,0.2227191145677535,0.24433143882740055,0.3055848040682022
Charmant,0.630296527506828,0.5648849005072181,0.9304769801014436,1.0419332813109636,0.3697034724931721,0.44486929379633244,0.24010436987904799,0.2738294966835739
Confidential,0.904124597207304,1.0066809881847476,0.8784317937701396,0.7330397422126745,0.09587540279269603,0.0280343716433942,0.12156820622986036,0.26696025778732546
Madam Red,1.5439024390243903,3.207317073170732,7.8725609756097565,5.257317073170731,0.5439024390243903,2.207317073170732,6.8725609756097565,4.257317073170731
Maritim,0.9132789317507418,1.220660237388724,1.7877596439169139,1.8542284866468843,0.08672106824925815,0.22066023738872403,0.787759643916914,0.8542284866468842
Memory Lane,0.8832172470978441,1.0202321724709784,0.8894859038142621,0.8581757877280265,0.11678275290215588,0.24908789386401325,0.25724709784411276,0.42401326699834163
Moon Walk,0.7157601351351351,0.607179054054054,0.617347972972973,0.454375,0.28423986486486486,0.39282094594594597,0.38265202702702705,0.545625
Odilia,0.5865494505494505,0.628043956043956,0.8847472527472527,0.9165714285714286,0.41345054945054943,0.371956043956044,0.11525274725274726,0.08342857142857144
Pink Athena,0.5626006904487917,0.3754583812811661,0.3856463367855773,0.33752972765630995,0.43739930955120826,0.624541618718834,0.6143536632144228,0.66247027234369
Red Ribbon,0.8469446808510638,0.8345191489361702,0.8862638297872341,0.8791829787234042,0.15305531914893616,0.17429787234042554,0.16279148936170212,0.16585531914893617
Royal Athena,0.7717055771725032,0.715473411154345,0.6285214007782102,0.3896562905317769,0.22829442282749676,0.284526588845655,0.3714785992217899,0.6103437094682231
Snow Flake,0.5305219206680585,0.5649269311064719,0.5982463465553236,0.49720250521920667,0.4694780793319415,0.4350730688935282,0.4017536534446764,0.5027974947807933
Tacazzi,0.9538085327783559,0.9526638917793965,0.848480749219563,0.8244328824141519,0.07530697190426638,0.09976066597294485,0.16325702393340272,0.1755671175858481
Tamara,0.9391544117647059,0.9670266544117647,0.9240464154411765,0.8513671875,0.1469439338235294,0.10845588235294118,0.07595358455882353,0.1486328125
Thriller,0.74,0.7954411106135244,0.7096372592924317,0.6894849977608598,0.26,0.2045588893864756,0.2903627407075683,0.3412718316166592
